Casper ID,Shipment/Bag ID
2112455,93
2280656,21
2288287,33
2307908,37
2310091,27
2317678,41
2377870,62
2406598,52
2407252,36
2457658,66
2458359,51
2463754,71
2474009,62
2523697,76
2526759,51
2526768,66
2526883,0
2527049,0
2527196,20
2528151,51
2559968,86
2561112,8
2585037,18
2585045,74
2585400,5
2585830,52
2599626,60
2600874,58
2603474,2
2603948,8
2623803,317
2626826,83
2626908,81
2627916,83
2628367,43
2629294,55
2633163,70
2633164,41
2633536,77
2633590,41
2643966,33
2658480,48
2660318,56
2661249,40
2661673,76
2661674,79
2663202,52
2665564,54
2671347,0
2680671,6
2692231,81
2695593,45
2701370,106
2707105,42
2709576,89
2714365,1
2769620,8
2772471,93
2805487,49
2824442,52
2926109,1
2926392,42
